rank,domain,categories
1,google.com,Search Engines
2,root-servers.net,Technology
3,googleapis.com,Content Servers;Personal Blogs
4,apple.com,Information Technology;Technology
5,gstatic.com,Content Servers
6,facebook.com,Social Networks
7,tiktokcdn.com,Content Servers;Social Networks
8,microsoft.com,Information Technology;Business
9,amazonaws.com,Technology
10,googlevideo.com,Search Engines;Video Streaming
11,cloudflare.com,Technology
12,fbcdn.net,Social Networks
13,doubleclick.net,Advertisements
14,whatsapp.net,Instant Messengers;Internet Phone & VOIP
15,youtube.com,Video Streaming
16,apple-dns.net,Content Servers
17,icloud.com,File Sharing;Content Servers
18,googleusercontent.com,Content Servers
19,akadns.net,Content Servers
20,amazon.com,Ecommerce
21,instagram.com,Social Networks
22,akamai.net,Content Servers
23,tiktokv.com,Social Networks;Video Streaming
24,googlesyndication.com,Search Engines;Advertisements
25,cloudfront.net,Content Servers;Science;Technology
26,cdn77.org,Content Servers
27,cloudflare-dns.com,Content Servers
28,gvt2.com,Content Servers
29,live.com,Technology;Webmail
30,akamaiedge.net,Content Servers
31,ntp.org,Technology;Government
32,aaplimg.com,Information Technology;Content Servers;Technology
33,gvt1.com,Content Servers
34,cdninstagram.com,Content Servers
35,tiktokcdn-eu.com,Content Servers
36,ytimg.com,Content Servers
37,bing.com,Search Engines
38,netflix.com,Movies;Video Streaming
39,spotify.com,Audio Streaming
40,bytefcdn-oversea.com,Content Servers
41,office.com,Technology
42,yahoo.com,News & Media
43,googleadservices.com,Advertisements
44,google-analytics.com,Business;Technology
45,snapchat.com,Social Networks
46,dns.google,Information Technology
47,fastly.net,Information Security;Information Technology;Technology
48,digicert.com,Information Security
49,unity3d.com,Gaming;Technology
50,ttlivecdn.com,Content Servers
51,app-analytics-services.com,Content Servers
52,amazon-adsystem.com,Advertisements
53,one.one,Information Technology
54,app-measurement.com,APIs
55,twitter.com,Social Networks
56,ui.com,Technology
57,bytefcdn-ttpeu.com,Content Servers
58,msftncsi.com,Content Servers
59,applovin.com,Business;Technology
60,samsung.com,Home & Garden;Technology
61,googletagmanager.com,Content Servers
62,azure.com,Technology
63,trafficmanager.net,Information Technology;Content Servers
64,rocket-cdn.com,Content Servers
65,msn.com,News & Media
66,ggpht.com,Content Servers
67,appsflyersdk.com,Content Servers;APIs
68,skype.com,Instant Messengers;Internet Phone & VOIP
69,wikipedia.org,Education
70,steamserver.net,Content Servers
71,baidu.com,Search Engines
72,linkedin.com,Professional Networking
73,roblox.com,Gaming;Safe for Kids
74,windows.net,Technology
75,microsoftonline.com,Technology
76,doubleverify.com,Business;Technology
77,taboola.com,Business;Advertisements
78,office.net,Content Servers
79,criteo.com,Business
80,xiaomi.com,Technology
81,tiktokcdn-us.com,Content Servers
82,windows.com,Information Technology
83,android.com,Technology
84,gmail.com,Webmail
85,sentry.io,Business
86,lencr.org,Information Technology
87,3gppnetwork.org,Content Servers
88,office365.com,Technology
89,cdn-apple.com,Content Servers
90,casalemedia.com,Business;Technology
91,qq.com,News & Media
92,qlivecdn.com,
93,2mdn.net,Content Servers
94,windowsupdate.com,Information Technology;Business
95,miui.com,Technology
96,rbxcdn.com,Content Servers
97,sharepoint.com,File Sharing;Technology
98,pangle.io,Content Servers
99,whatsapp.com,Instant Messengers;Internet Phone & VOIP
100,a2z.com,Content Servers
